"x"
17.58
17.42
18.15
18.35
20.1
19.81
20.61
20.42
19.2
19.32
20.15
20.16
19.77
18.76
16.84
14.79
14.91
13.12
12.68
9.95
7
7.95
7.62
7.41
6.05
6.78
6.22
4.95
4.02
3
2.67
2.5
2.35
2.17
1.85
2.01
1.94
1.89
2
3.38
4.31
3.9
3.19
3.62
3.21
3.24
3.07
3.06
4.08
4.54
4.06
3.88
4.4
4.36
4.39
5.05
5.98
5.7
6.43
6.4
5.34
5.35
6.92
6.87
6.69
6.93
7.7
8.95
9.58
9.36
10.79
12.65
14.54
17.25
17.98
17.94
18.82
18.74
18.38
