"date","price","reference","month","week"
2011-11-04,12.45,"http://www.carbonnews.co.nz/story.asp?storyID=5721","2011-11","2011-W44"
2011-11-11,13,"http://www.carbonnews.co.nz/story.asp?storyID=5741","2011-11","2011-W45"
2011-11-18,13,"http://www.carbonnews.co.nz/story.asp?storyID=5756","2011-11","2011-W46"
2011-11-25,12.1,"http://www.carbonnews.co.nz/story.asp?storyID=5765","2011-11","2011-W47"
2011-11-30,13.5,"http://www.carbonnews.co.nz/story.asp?storyID=5705","2011-11","2011-W48"
2011-12-02,11,"http://www.carbonnews.co.nz/story.asp?storyID=5784","2011-12","2011-W48"
2011-12-04,11,"http://www.stuff.co.nz/business/6081834/Carbon-credits-pricing-crashes-and-burns","2011-12","2011-W48"
2011-12-09,9.5,"http://uk.reuters.com/article/newzealand-carbon-idUKL3E7N901120111209","2011-12","2011-W49"
2011-12-16,8.3,"http://www.carbonnews.co.nz/story.asp?storyID=5808","2011-12","2011-W50"
2012-01-19,7,"http://uk.reuters.com/article/newzealand-carbon-idUKL3E8CK01E20120120","2012-01","2012-W03"
2012-01-20,7,"http://www.carbonnews.co.nz/story.asp?storyID=5829","2012-01","2012-W03"
2012-02-03,7.65,"http://uk.reuters.com/article/newzealand-carbon-idUKL4E8D31Z620120203","2012-02","2012-W05"
2012-02-10,7.65,"http://uk.reuters.com/article/newzealand-carbon-idUKL5E8DG5G420120217","2012-02","2012-W06"
2012-02-16,7.95,"http://www.reuters.com/article/newzealand-carbon-idUSL5E8DG5G420120217","2012-02","2012-W07"
2012-02-17,7.95,"http://uk.reuters.com/article/newzealand-carbon-idUKL5E8DG5G420120217","2012-02","2012-W07"
2012-02-18,8,"http://www.carbonnews.co.nz/story.asp?storyID=5886","2012-02","2012-W07"
2012-02-28,8.5,"http://www.bloomberg.com/news/articles/2012-07-12/new-zealand-resists-higher-carbon-price-plans-link-to-australia","2012-02","2012-W09"
2012-03-01,7.95,"http://www.reuters.com/article/newzealand-carbon-idUSL4E8E171W20120302","2012-03","2012-W09"
2012-03-09,7.9,"http://uk.reuters.com/article/newzealand-carbon-idUKL5E8EF86T20120316","2012-03","2012-W10"
2012-03-16,7.4,"http://uk.reuters.com/article/newzealand-carbon-idUKL5E8EF86T20120316","2012-03","2012-W11"
2012-03-23,7.85,"http://uk.reuters.com/article/newzealand-carbon-idUKL3E8EU0F220120330","2012-03","2012-W12"
2012-03-30,7.6,"http://uk.reuters.com/article/newzealand-carbon-idUKL3E8EU0F220120330","2012-03","2012-W13"
2012-03-31,7,"http://www.carbonnews.co.nz/story.asp?storyID=5939","2012-03","2012-W13"
2012-04-15,7.41,"Chart digitised","2012-04","2012-W15"
2012-04-20,7.5,"http://www.carbonnews.co.nz/story.asp?storyID=6024","2012-04","2012-W16"
2012-05-04,6.6,"http://www.carbonnews.co.nz/story.asp?storyID=6053","2012-05","2012-W18"
2012-05-11,6.2,"http://www.carbonnews.co.nz/story.asp?storyID=6068","2012-05","2012-W19"
2012-05-31,5.9,"http://www.carbonnews.co.nz/story.asp?storyID=6115","2012-05","2012-W22"
2012-06-21,6.6,"http://www.reuters.com/article/us-market-carbon-new-zealand-idUSBRE85R0F620120628","2012-06","2012-W25"
2012-06-28,6.95,"http://www.reuters.com/article/us-market-carbon-new-zealand-idUSBRE85R0F620120628","2012-06","2012-W26"
2012-07-02,6.95,"http://www.reuters.com/article/us-newzealand-carbon-idUSBRE86108220120702","2012-07","2012-W27"
2012-07-03,6.95,"https://www.nbr.co.nz/article/ets-decisions-will-bury-carbon-market-years-wb-122700","2012-07","2012-W27"
2012-07-12,6.3,"http://www.eco-business.com/news/new-zealand-resists-higher-carbon-price-plans-link-to-australia/","2012-07","2012-W28"
2012-07-13,6.1,"http://www.bloomberg.com/news/articles/2012-07-12/new-zealand-resists-higher-carbon-price-plans-link-to-australia","2012-07","2012-W28"
2012-07-27,4.9,"http://www.carbonnews.co.nz/story.asp?storyID=6222","2012-07","2012-W30"
2012-08-03,4.9,"http://www.carbonnews.co.nz/story.asp?storyID=6235","2012-08","2012-W31"
2012-08-10,5,"https://www.nbr.co.nz/article/ets-loophole-halves-cost-biggest-nz-carbon-emitters-wb-125587","2012-08","2012-W32"
2012-09-06,4.85,"http://www.carbonnews.co.nz/story.asp?storyID=6319","2012-09","2012-W36"
2012-09-07,4.65,"http://cf.datawrapper.de/H296a/4/","2012-09","2012-W36"
2012-09-14,3.6,"http://cf.datawrapper.de/H296a/4/","2012-09","2012-W37"
2012-09-17,4.2,"http://www.odt.co.nz/news/business/226151/fears-emissions-trading-scheme","2012-09","2012-W38"
2012-09-21,3.1,"http://cf.datawrapper.de/H296a/4/","2012-09","2012-W38"
2012-09-28,3.7,"http://cf.datawrapper.de/H296a/4/","2012-09","2012-W39"
2012-10-05,3.45,"http://cf.datawrapper.de/H296a/4/","2012-10","2012-W40"
2012-10-12,3.2,"http://cf.datawrapper.de/H296a/4/","2012-10","2012-W41"
2012-10-19,2.85,"http://cf.datawrapper.de/H296a/4/","2012-10","2012-W42"
2012-10-25,3,"http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10842724","2012-10","2012-W43"
2012-10-26,2.5,"http://cf.datawrapper.de/H296a/4/","2012-10","2012-W43"
2012-11-02,2.5,"http://www.reuters.com/article/newzealand-carbon-idUSL3E8LP1E220121102","2012-11","2012-W44"
2012-11-02,2.8,"http://cf.datawrapper.de/H296a/4/","2012-11","2012-W44"
2012-11-09,2.65,"http://cf.datawrapper.de/H296a/4/","2012-11","2012-W45"
2012-11-23,2.75,"http://cf.datawrapper.de/H296a/4/","2012-11","2012-W47"
2012-12-07,2.5,"http://www.carbonnews.co.nz/story.asp?storyID=6519","2012-12","2012-W49"
2013-01-11,2.35,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-01","2013-W02"
2013-01-18,2.4,"http://cf.datawrapper.de/H296a/4/","2013-01","2013-W03"
2013-01-25,2.3,"http://cf.datawrapper.de/H296a/4/","2013-01","2013-W04"
2013-02-01,2.35,"http://cf.datawrapper.de/H296a/4/","2013-02","2013-W05"
2013-02-03,2.5,"http://www.stuff.co.nz/business/8252659/Carbon-credit-price-meltdown","2013-02","2013-W05"
2013-02-08,2.25,"http://cf.datawrapper.de/H296a/4/","2013-02","2013-W06"
2013-02-22,1.6,"http://cf.datawrapper.de/H296a/4/","2013-02","2013-W08"
2013-03-01,1.65,"http://cf.datawrapper.de/H296a/4/","2013-03","2013-W09"
2013-03-08,1.9,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-03","2013-W10"
2013-03-15,1.8,"http://cf.datawrapper.de/H296a/4/","2013-03","2013-W11"
2013-03-28,1.9,"http://cf.datawrapper.de/H296a/4/","2013-03","2013-W13"
2013-03-29,2,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-03","2013-W13"
2013-04-05,1.9,"http://cf.datawrapper.de/H296a/4/","2013-04","2013-W14"
2013-04-12,2.05,"http://cf.datawrapper.de/H296a/4/","2013-04","2013-W15"
2013-04-19,2.1,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-04","2013-W16"
2013-04-26,2,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-04","2013-W17"
2013-05-03,1.85,"http://cf.datawrapper.de/H296a/4/","2013-05","2013-W18"
2013-05-10,1.97,"http://cf.datawrapper.de/H296a/4/","2013-05","2013-W19"
2013-05-17,1.95,"http://cf.datawrapper.de/H296a/4/","2013-05","2013-W20"
2013-05-24,2,"http://www.carbonnews.co.nz/story.asp?storyID=6811","2013-05","2013-W21"
2013-05-31,1.95,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-05","2013-W22"
2013-06-07,1.6,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-06","2013-W23"
2013-06-14,1.75,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-06","2013-W24"
2013-06-21,1.8,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-06","2013-W25"
2013-06-28,1.8,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-06","2013-W26"
2013-06-28,2.5,"http://www.carbonnews.co.nz/story.asp?storyID=6971","2013-06","2013-W26"
