"month","price"
2016-01-15,9.62
2016-02-15,9.36
2016-03-15,10.63
2016-04-15,12.81
2016-05-15,14.39
2016-06-15,16.96
2016-07-15,17.98
2016-08-15,18.03
2016-09-15,18.84
2016-10-15,18.75
